--------- beginning of system
07-08 17:42:13.823  3414  8731 W ActivityTaskManager: callingPackage for (uid=2000, pid=11446) has no WPC
07-08 17:42:13.824  3414  8731 D WindowManager: NFW_setClientVisible:ActivityRecord{211086829 u0 rd.sheepskin.sandboxmusic/.MainActivity clientVisible:true
07-08 17:42:13.825  3414  8731 D ActivityTaskManager: The isLandscapeFullscreenEnabled is: rd.sheepskin.sandboxmusic/.MainActivity
07-08 17:42:13.825  3414  8731 D ActivityTaskManager: The isLandscapeFullscreenEnabled is: rd.sheepskin.sandboxmusic/.MainActivity
07-08 17:42:13.825  3414  8731 D ActivityTaskManager: The isLandscapeFullscreenEnabled is: rd.sheepskin.sandboxmusic/.MainActivity
07-08 17:42:13.825  3414  8731 D ActivityTaskManager: The isLandscapeFullscreenEnabled is: rd.sheepskin.sandboxmusic/.MainActivity
07-08 17:42:13.825  3414  8731 D ActivityTaskManager: The isLandscapeFullscreenEnabled is: rd.sheepskin.sandboxmusic/.MainActivity
07-08 17:42:13.825  3414  8731 D FlexibleTaskController: isSupportFlexibleWindow target = rd.sheepskin.sandboxmusic/.MainActivity callPkg = FlexibleTaskController support = true ,caller = 3414
07-08 17:42:13.825  3414  8731 I AppSnapshotController: init, sysSupport = true, mActivitySupport = false, activityRecord = ActivityRecord{211086829 u0 rd.sheepskin.sandboxmusic/.MainActivity t-1}
07-08 17:42:13.826  3414  3631 E QosSceneRecognizer[ActivityStartScene]: notifyActivityStart get launchedFromUid failed through AppManager! launchedFromPackage: com.android.shell, pkg: rd.sheepskin.sandboxmusic
07-08 17:42:13.827  3414  8731 D FlexibleWindowManagerService: isIgnoreAppearedAcrossTask:false
07-08 17:42:13.827  3414  4363 D StartingSurfacePreviewController: checkSupportSurfacePreview, token=rd.sheepskin.sandboxmusic/.MainActivity, enableSurfacePreview=false, supportMultiLayout=false, unsupportedSkipViewAnimLv=null, disableSurfacePreviewAnimLv=null, ignoreFileExistAnimLv=null
07-08 17:42:13.827  3414  8731 D ActivityStarterExtImpl: setForceUpdateWindow, targetTask = Task{ec7700d #1720 type=standard A=10447:rd.sheepskin.sandboxmusic} r = ActivityRecord{211086829 u0 rd.sheepskin.sandboxmusic/.MainActivity t-1} notFinish =false
07-08 17:42:13.827  3414  8731 D FlexibleWindowManagerService: isIgnoreAppearedAcrossTask:false
07-08 17:42:13.827  3414  8731 D FlexibleTaskController: findSourceTaskForFreeForm: sourceRecord = null ,realCallingPid:11446 ,launchFromZoomMode:false ,prevTopTask:Task{ec7700d #1720 type=standard A=10447:rd.sheepskin.sandboxmusic}
07-08 17:42:13.827  3414  8731 D FlexibleTaskController: findSourceTaskForFreeForm: the caller is not a flexible freeform window application and does not have a zoom windowMode startup parameter
07-08 17:42:13.827  3414  8731 D FlexibleTaskController: adjustOptionsForFlexibleTask not allow options follow process task's options, reason:9 ,reusedOptions:null
07-08 17:42:13.827  3414  8731 I TaskFragmentExtImpl: reset pause in recents anim for mTaskFragment: Task{ec7700d #1720 type=standard A=10447:rd.sheepskin.sandboxmusic}
07-08 17:42:13.828  3414  8731 D FlexibleTaskController: isSupportFlexibleWindow target = rd.sheepskin.sandboxmusic/.MainActivity callPkg = FlexibleTaskController support = true ,caller = 3414
07-08 17:42:13.828  3414  8731 D FlexibleTaskController: shouldKeepFlexibleTask flexibleTask not active.
07-08 17:42:13.828  3414  8731 D ActivityStarterExtImpl: isLaunchingRootActivity = true
07-08 17:42:13.829  3414  8731 D ActivityTaskManager: The isLandscapeFullscreenEnabled is: rd.sheepskin.sandboxmusic/.MainActivity
07-08 17:42:13.830  3414  8731 D ActivityTaskManager: The isLandscapeFullscreenEnabled is: rd.sheepskin.sandboxmusic/.MainActivity
07-08 17:42:13.831  3414  8731 E Transition: Aborting Transition mSyncId=6478, caller=com.android.server.wm.OplusTransitionUtil.abortTransitionImmediately:109 com.android.server.wm.OplusTransitionController.abortTransitionImmediately:123 com.android.server.wm.ActivityStarterExtImpl.abortTransitionImmediately:1896 
07-08 17:42:13.831  3414  8731 D OplusTransitionController: hookOnAbort, transition: TransitionRecord{7df7be9 id=6478 track=0 type=OPEN flags=0x0 state=0 c=[
07-08 17:42:13.831  3414  8731 D OplusTransitionController:    ChangeInfo{11ef06e container=ActivityRecord{211086829 u0 rd.sheepskin.sandboxmusic/.MainActivity t-1} flags=0x0}
07-08 17:42:13.831  3414  8731 D OplusTransitionController: ]
07-08 17:42:13.831  3414  8731 D OplusTransitionController: }
07-08 17:42:13.831  3414  8731 E OplusAppQuickStart_AppQuickStartController: not start from launcher transition:6478
07-08 17:42:13.831  3414  8731 D KEYLOG_PhoneWindowManager: setKeyguardOccludedLw occluded=false,false,false
07-08 17:42:13.831  3414  8731 D KEYLOG_PhoneWindowManager: setKeyguardOccludedLw occluded=false,false,false
07-08 17:42:13.834  3414  8731 I ActivityTaskManager: START u0 {act=android.intent.action.VIEW dat=sandboxmusic://e2e/... flg=0x14000000 xflg=0x4 cmp=rd.sheepskin.sandboxmusic/.MainActivity mCallingUid=2000} with LAUNCH_SINGLE_TASK from uid 2000 (BAL_ALLOW_PERMISSION (START_ACTIVITIES_FROM_BACKGROUND permission granted)) result code=3
07-08 17:42:13.835  4915  4967 D WindowManagerShell: onActivityRestartAttempt: topActivity=ComponentInfo{rd.sheepskin.sandboxmusic/rd.sheepskin.sandboxmusic.MainActivity}, wasVisible=true
07-08 17:42:13.835  1361  1361 D ActivityThread: ComponentInfo{rd.sheepskin.sandboxmusic/rd.sheepskin.sandboxmusic.MainActivity} checkFinished=false 4
07-08 17:42:13.835  1361  1361 D ResourcesManagerExtImpl: applyConfigurationToAppResourcesLocked app.getDisplayId() return callback.displayId:0
07-08 17:42:13.898  3414  4904 W ForegroundServiceTypeLoggerModule: Logger should be tracking FGS types correctly for UID 10447 in package rd.sheepskin.sandboxmusic
07-08 17:42:13.905  3414  8731 I MediaSessionStack: removeSession | record: rd.sheepskin.sandboxmusic/SovereignMusicConsole/8544 (userId=0)
07-08 17:42:13.916  3414  3414 I OplusMediaControlService: onActiveSessionsChanged begin
07-08 17:42:13.916  3414  3414 I OplusMediaControlService: onEventFromMediaControllerList controller size = 0
07-08 17:42:13.916  3414  3414 I OplusMediaControlService: updateControllerMap begin
07-08 17:42:13.916  3414  3414 I OplusMediaControlService: updataPlayStateMap begin
07-08 17:42:13.916  3414  3414 I OplusMediaControlService: updateMetadataMap begin
